number;accumulated errors;
3062;0,120509;
3079;0,120169;
3081;0,120415;
3086;0,120544;
3090;0,120712;
3102;0,120567;
3104;0,120812;
3110;0,1209;
3142;0,119987;
3148;0,120076;
3149;0,120356;
3150;0,120635;
3162;0,120493;
3165;0,120695;
3166;0,120973;
3174;0,120983;
3176;0,121222;
3181;0,121345;
3183;0,121583;
3189;0,121668;
3191;0,121905;
3198;0,121951;
3203;0,122073;
3207;0,122233;
3210;0,12243;
3212;0,122665;
3215;0,122862;
3221;0,122943;
3225;0,123101;
3229;0,123258;
3235;0,123338;
3241;0,123419;
3242;0,123689;
3265;0,123124;
3278;0,122941;
3282;0,123096;
3283;0,123363;
3286;0,123554;
3290;0,123708;
3294;0,123862;
3302;0,123864;
3311;0,12383;
3321;0,123758;
3323;0,123984;
3332;0,12395;
3333;0,124212;
3334;0,124475;
3342;0,124476;
3344;0,124701;
3348;0,124851;
3350;0,125075;
3353;0,125261;
3369;0,124963;
3381;0,124815;
3382;0,125074;
3383;0,125333;
3385;0,125554;
3393;0,125553;
3398;0,125662;
3400;0,125882;
3402;0,126102;
3403;0,126359;
3409;0,12643;
3416;0,126464;
3421;0,126571;
3424;0,126752;
3425;0,127007;
3430;0,127114;
3437;0,127146;
3439;0,127363;
3441;0,127579;
3448;0,12761;
3450;0,127826;
3462;0,127672;
3463;0,127924;
3465;0,128139;
3466;0,12839;
3468;0,128604;
3469;0,128856;
3475;0,128921;
3485;0,128838;
3487;0,129051;
3488;0,1293;
3496;0,129291;
3504;0,129281;
3516;0,129124;
3520;0,129261;
3531;0,129142;
3535;0,129279;
3537;0,129488;
3539;0,129698;
3548;0,129651;
3563;0,129385;
3569;0,129448;
3571;0,129656;
3573;0,129863;
3582;0,129816;
3585;0,129986;
3587;0,130192;
3593;0,130253;
3596;0,130423;
3601;0,130519;
3607;0,130579;
3609;0,130784;
3618;0,130735;
3620;0,130939;
3622;0,131143;
3626;0,131274;
3632;0,131333;
3633;0,131572;
3658;0,130946;
3659;0,131183;
3661;0,131385;
3662;0,131622;
3668;0,131679;
3674;0,131737;
3679;0,131829;
3680;0,132065;
3689;0,132014;
3691;0,132213;
3694;0,132377;
3697;0,13254;
3699;0,132739;
3703;0,132865;
3708;0,132956;
3711;0,133118;
3714;0,133279;
3718;0,133405;
3719;0,133638;
3729;0,133548;
3732;0,133708;
3735;0,133869;
3738;0,134029;
3743;0,134117;
3755;0,133955;
3759;0,134078;
3760;0,134309;
3775;0,13404;
3783;0,134021;
3786;0,134179;
3792;0,13423;
3796;0,134352;
