number;accumulated errors;
3296;0,102245;
3305;0,102269;
3313;0,102324;
3316;0,102533;
3332;0,102341;
3334;0,102579;
3335;0,102849;
3336;0,103118;
3346;0,103108;
3347;0,103376;
3348;0,103644;
3354;0,103757;
3363;0,103776;
3364;0,104043;
3365;0,104309;
3367;0,104544;
3374;0,104624;
3377;0,104827;
3378;0,105092;
3381;0,105294;
3385;0,105465;
3395;0,105449;
3396;0,105713;
3399;0,105914;
3400;0,106176;
3401;0,106439;
3407;0,106545;
3412;0,106682;
3422;0,106663;
3424;0,106893;
3427;0,107091;
3428;0,107351;
3433;0,107486;
3445;0,107402;
3453;0,107443;
3454;0,107701;
3457;0,107897;
3458;0,108155;
3466;0,108194;
3467;0,108451;
3477;0,108427;
3486;0,108434;
3490;0,108596;
3493;0,108789;
3494;0,109044;
3506;0,108956;
3510;0,109117;
3517;0,109184;
3518;0,109437;
3530;0,109348;
3533;0,109539;
3537;0,109697;
3538;0,109949;
3542;0,110107;
3544;0,110327;
3549;0,110454;
3570;0,110084;
3580;0,110056;
3581;0,110304;
3599;0,110031;
3614;0,109851;
3630;0,109642;
3643;0,109525;
3647;0,109679;
3650;0,109863;
3653;0,110047;
3659;0,110139;
3661;0,110352;
3662;0,110595;
3666;0,110747;
3678;0,110658;
3682;0,110809;
3689;0,11087;
3701;0,110781;
3703;0,110991;
3708;0,111111;
3715;0,111171;
3716;0,11141;
3718;0,111619;
3721;0,111798;
3725;0,111946;
3738;0,111825;
3739;0,112062;
3742;0,112239;
3746;0,112387;
3749;0,112563;
3754;0,11268;
3758;0,112826;
3763;0,112942;
3764;0,113177;
3766;0,113383;
3769;0,113558;
3770;0,113793;
3773;0,113968;
3783;0,113931;
3788;0,114044;
3792;0,114188;
3795;0,114361;
3796;0,114594;
3798;0,114797;
3805;0,114849;
3811;0,11493;
3821;0,114891;
3823;0,115093;
3824;0,115324;
3827;0,115495;
3832;0,115605;
3838;0,115685;
3847;0,115675;
3853;0,115754;
3857;0,115893;
3862;0,116002;
3870;0,116021;
3873;0,116189;
3876;0,116357;
3885;0,116345;
3890;0,116452;
3898;0,11647;
3899;0,116697;
3905;0,116773;
3907;0,11697;
3910;0,117136;
3919;0,117122;
3925;0,117197;
3927;0,117392;
3928;0,117617;
3933;0,117722;
3937;0,117856;
3938;0,11808;
3945;0,118124;
3949;0,118258;
3953;0,118391;
3957;0,118524;
3971;0,118358;
3978;0,118401;
3979;0,118623;
3981;0,118814;
3984;0,118976;
3985;0,119197;
3986;0,119418;
3987;0,119639;
3989;0,11983;
3992;0,11999;
3993;0,12021;
3994;0,120431;
3995;0,120651;
3998;0,12081;
4008;0,120758;
4010;0,120948;
4012;0,121137;
4020;0,121144;
4022;0,121333;
4023;0,121551;
4024;0,121769;
4034;0,121715;
4037;0,121873;
4046;0,121849;
4048;0,122036;
4052;0,122162;
4057;0,122258;
4060;0,122414;
4063;0,12257;
4065;0,122755;
4069;0,12288;
4072;0,123035;
4076;0,12316;
4077;0,123375;
4079;0,12356;
4090;0,123472;
4237;0,119424;
4430;0,114447;
4488;0,113191;
4509;0,112885;
4552;0,112039;
4587;0,111402;
4604;0,111208;
4665;0,109968;
4693;0,109525;
4695;0,109691;
4701;0,109764;
4703;0,10993;
4715;0,109862;
4730;0,109725;
4732;0,10989;
4753;0,109615;
4755;0,109779;
4761;0,109851;
4773;0,109784;
4780;0,109833;
4783;0,109973;
4811;0,109541;
4822;0,109498;
4834;0,109433;
4851;0,109256;
4857;0,109327;
4863;0,109397;
4871;0,109423;
4878;0,109471;
4935;0,108409;
4946;0,10837;
4947;0,108551;
4951;0,108665;
4972;0,108407;
4996;0,108086;
5010;0,107984;
5014;0,108097;
5036;0,107824;
5053;0,107659;
5065;0,107601;
5083;0,107417;
5114;0,106961;
5119;0,107052;
5129;0,107038;
5133;0,10715;
5138;0,10724;
5141;0,107372;
5152;0,107337;
5154;0,107489;
5159;0,107579;
5161;0,107731;
5173;0,107674;
5174;0,107847;
5181;0,107894;
5196;0,107775;
5211;0,107657;
5245;0,10715;
5247;0,107299;
5260;0,107224;
5265;0,107312;
5269;0,107421;
5277;0,107447;
5279;0,107596;
5295;0,10746;
5346;0,106622;
5355;0,106629;
5364;0,106637;
5375;0,106605;
5391;0,106474;
5394;0,1066;
5415;0,106371;
5421;0,106438;
5431;0,106426;
5435;0,106532;
5437;0,106676;
5441;0,106782;
5444;0,106907;
5462;0,106737;
5466;0,106842;
5471;0,106927;
5479;0,106954;
5480;0,107117;
5481;0,10728;
5491;0,107266;
5500;0,107273;
5501;0,107435;
5510;0,107441;
5524;0,10735;
5528;0,107453;
5542;0,107362;
5552;0,107349;
5558;0,107413;
5582;0,10713;
5591;0,107136;
5597;0,1072;
5598;0,10736;
5601;0,107481;
5603;0,107621;
5619;0,107492;
5633;0,107403;
5649;0,107276;
5665;0,107149;
5700;0,106667;
5702;0,106805;
5715;0,106737;
5716;0,106893;
5719;0,107012;
5722;0,10713;
5723;0,107286;
5725;0,107424;
5732;0,107467;
5737;0,107547;
5759;0,10731;
5777;0,107149;
5800;0,106897;
5803;0,107014;
